xi_center,rho_raw,rho_corr,phi,xi_center_masked,rho_raw_masked,rho_corr_masked
0.01470,70694.6275,1.686996e+04,1.047858,0.01470,67749.0180,1.619523e+04
0.04389,25208.9369,6.432915e+03,0.979889,0.04389,23667.6297,6.055723e+03
0.07309,51582.4172,1.282208e+04,1.005943,0.07309,47129.7517,1.175948e+04
0.10229,54836.2881,1.381592e+04,0.992472,0.10229,50006.8586,1.263390e+04
0.13148,56857.1132,1.418864e+04,1.002015,0.13148,51582.4172,1.291171e+04
0.16068,67577.7617,1.690824e+04,0.999391,0.16068,61241.2762,1.533457e+04
0.18987,122414.0498,3.067191e+04,0.997977,0.18987,111933.1603,2.812372e+04
0.21907,236162.5275,5.912060e+04,0.998855,0.21907,210405.5702,5.286709e+04
0.24827,394745.9216,9.884994e+04,0.998553,0.24827,357240.7777,8.985083e+04
0.27746,604843.2304,1.518720e+05,0.995853,0.27746,545348.7691,1.374849e+05
0.30666,1176976.4950,2.960876e+05,0.993980,0.30666,1068297.2057,2.695589e+05
0.33585,2001267.6317,5.020913e+05,0.996673,0.33585,1807782.1904,4.555299e+05
0.36505,2344431.1362,5.868655e+05,0.998916,0.36505,2124435.2095,5.341101e+05
0.39425,2659405.8429,6.651852e+05,0.999706,0.39425,2384094.1103,5.996417e+05
0.42344,2950507.4124,7.395164e+05,0.997652,0.42344,2647863.1639,6.667004e+05
0.45264,3405432.8207,8.539631e+05,0.997157,0.45264,3063536.6134,7.720395e+05
0.48183,3979312.9003,9.953780e+05,0.999655,0.48183,3617585.2058,9.079622e+05
0.51103,4409851.4022,1.106355e+06,0.996689,0.51103,3976744.0548,1.002742e+06
0.54023,4870222.7630,1.221377e+06,0.997078,0.54023,4377244.1903,1.102760e+06
0.56942,5254727.5540,1.313025e+06,1.000708,0.56942,4722908.0377,1.185518e+06
0.59862,5612516.3520,1.404146e+06,0.999483,0.59862,5013838.3508,1.261109e+06
0.62781,6484553.7633,1.619647e+06,1.001128,0.62781,5826586.8084,1.461874e+06
0.65701,7386766.5461,1.844617e+06,1.001333,0.65701,6663653.6699,1.671223e+06
0.68621,7124264.7896,1.778190e+06,1.001825,0.68621,6411324.5416,1.607152e+06
0.71540,6300692.9297,1.576742e+06,0.999212,0.71540,5661016.1546,1.423452e+06
