xi_center,rho_raw,rho_corr,phi,xi_center_masked,rho_raw_masked,rho_corr_masked
0.01198,331785.4784,2.026484e+04,2.667912,0.01198,292031.3303,1.830659e+04
0.03394,1230420.4811,4.918041e+04,4.076793,0.03394,1184245.5600,4.804198e+04
0.05590,1820585.1530,7.659391e+04,3.873237,0.05590,1741987.6049,7.477242e+04
0.07786,2565394.8270,1.173954e+05,3.560905,0.07786,2307835.3066,1.105193e+05
0.09982,2232197.6893,1.352461e+05,2.689461,0.09982,2083062.7124,1.303736e+05
0.12178,2146223.0827,1.694902e+05,2.063420,0.12178,2028235.6858,1.641623e+05
0.14374,1690484.8083,1.861113e+05,1.480116,0.14374,1601277.0466,1.810567e+05
0.16570,1137159.8910,1.792807e+05,1.033583,0.16570,1070128.8418,1.739984e+05
0.18766,833470.9869,2.150731e+05,0.631483,0.18766,800000.9997,2.102917e+05
0.20962,674955.3061,3.101552e+05,0.354612,0.20962,637705.7149,2.947636e+05
0.23158,591166.4947,4.029604e+05,0.239059,0.23158,559563.5408,3.831517e+05
0.25354,600501.6612,5.073777e+05,0.192859,0.25354,571858.6381,4.843358e+05
0.27550,681148.3922,6.423961e+05,0.172781,0.27550,642988.0531,6.064671e+05
0.29746,822724.1611,8.084254e+05,0.165833,0.29746,781467.2789,7.680337e+05
0.31942,946813.5693,9.388445e+05,0.164334,0.31942,897906.4044,8.904383e+05
0.34138,850957.3475,8.489082e+05,0.163344,0.34138,809837.0776,8.080156e+05
0.36334,747268.6934,7.461758e+05,0.163190,0.36334,708197.6063,7.071047e+05
0.38530,697815.0797,6.973142e+05,0.163068,0.38530,657651.0951,6.571502e+05
0.40726,683652.9490,6.832431e+05,0.163049,0.40726,641485.3189,6.410755e+05
0.42922,584426.9598,5.839716e+05,0.163078,0.42922,549727.4629,5.492721e+05
0.45118,396676.2698,3.963120e+05,0.163101,0.45118,368443.0834,3.681243e+05
0.47314,228643.2730,2.283245e+05,0.163179,0.47314,216029.4139,2.157107e+05
0.49510,128688.6854,1.275047e+05,0.164464,0.49510,120264.2669,1.191258e+05
0.51706,70400.8166,7.021867e+04,0.163374,0.51706,66074.7638,6.589261e+04
0.53902,36566.5302,3.638438e+04,0.163767,0.53902,34380.7351,3.419859e+04
